Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
Journalist to Minister: A journalist is asking a question in a press conference.,"Domnule ministru, ați putea clarifica această problemă?","Domnule ministru, poți clarifica această problemă?",A,Politeness,Formal Event,Journalist->Minister
Boss to Employee: A boss is giving direct instructions to their employee.,Vă rog să revizuiți acest document până mâine dimineață.,Revizuiește acest document până mâine dimineață.,A,Politeness,Workplace,Boss->Employee
Doctor to Nurse: A doctor is requesting assistance from a nurse.,Aș vrea să mă ajuți cu pacientul de la camera 3.,Aș dori să mă ajutați cu pacientul de la camera 3.,B,Politeness,Healthcare,Doctor->Nurse
Friend to Friend (Request): One friend is asking another for a ride.,M-ai putea duce tu cu mașina până acasă?,M-ați putea duce dumneavoastră cu mașina până acasă?,A,Politeness,Friends,Friend->Friend
Salesperson to Customer: A salesperson is offering a product to a customer.,Aș dori să vă arăt cel mai nou model.,Vreau să-ți arăt cel mai nou model.,A,Politeness,Commerce,Salesperson->Customer
Customer to Salesperson: A customer is asking to try on a pair of shoes.,Se poate proba?,Se poate proba?,A,Politeness,Commerce,Customer->Salesperson
Neighbor to Neighbor: A person is asking a neighbor they don't know well to lower the volume.,V-aș ruga să dați muzica mai încet.,Dă muzica mai încet.,A,Politeness,Family,Neighbor->Neighbor
Teacher to Parent: A teacher is scheduling a meeting with a parent.,Aș vrea să discutăm despre progresul fiului dumneavoastră.,Vreau să discutăm despre progresul fiului tău.,B,Politeness,Education,Teacher->Parent
Senior Manager to New Hire: The manager is welcoming a new employee.,Îți urez bun venit în echipa noastră!,Vă urez bun venit în echipa noastră!,B,Politeness,Workplace,Manager->New Hire
Patient to Nurse: A patient is asking a nurse for a blanket.,"Aș putea să am o pătură, vă rog?","Poți să-mi dai o pătură, te rog?",A,Politeness,Healthcare,Patient->Nurse
Team Leader to Team Member: A team leader is giving a specific directive to a team member.,Te rog să te ocupi tu de partea de analiză.,V-aș ruga să vă ocupați de partea de analiză.,A,Politeness,Workplace,Leader->Member
Colleague to Colleague (Formal): A new colleague is asking an older colleague for help.,M-ați putea ajuta cu asta?,M-ai putea ajuta cu asta?,A,Politeness,Workplace,New Colleague->Old Colleague
Bank Teller to Customer: A teller is asking a customer for their ID.,Ați putea să-mi prezentați un act de identitate?,Prezintă-mi un act de identitate.,A,Politeness,Commerce,Teller->Customer
Friend to Friend (Informal request): One friend is asking another for a ride.,Ai putea să mă duci tu acasă?,Ați putea să mă duceți dumneavoastră acasă?,A,Politeness,Friends,Friend->Friend
Junior Employee to Manager: An employee needs to inform their manager that a project deadline cannot be met.,Nu vom termina proiectul la timp.,"Din păcate, cred că nu vom putea termina proiectul la timp.",B,Indirectness,Workplace,Junior->Manager
Customer to Salesperson: A customer wants to politely decline an offer.,"Mulțumesc, dar nu sunt interesat.","Nu, nu cumpăr.",A,Indirectness,Commerce,Customer->Salesperson
Student to Professor: A student is politely asking for a delay for an assignment.,M-aș întreba dacă ar fi posibil să predau lucrarea cu o zi mai târziu.,Trebuie să predau lucrarea mai târziu.,A,Indirectness,Education,Student->Professor
Friend to Friend (Declining an Invitation): A friend wants to decline an invitation without being rude.,"Din păcate, nu pot să vin.",Nu vin.,A,Indirectness,Friends,Friend->Friend
Patient to Doctor: A patient is expressing a concern about a prescribed medication.,Sunt un pic îngrijorat în legătură cu efectele secundare.,Nu-mi plac efectele secundare.,A,Indirectness,Healthcare,Patient->Medic
Clerk to Citizen: A clerk is informing a citizen that they need to wait longer for a document.,Va dura ceva timp până documentul va fi gata.,Documentul nu-i gata.,A,Indirectness,Administration,Clerk->Citizen
Manager to Employee: A manager is giving a new task but wants to frame it as a suggestion.,Ce-ar fi să încerci tu să te ocupi de acest raport?,Ocupă-te tu de acest raport.,A,Indirectness,Workplace,Manager->Employee
Parent to Teenager: A parent is suggesting that their child study instead of playing games.,Poate ar trebui să te mai uiți pe la cărți.,Nu te mai juca și învață.,A,Indirectness,Family,Parent->Teenager
Professor to Student: A professor is gently critiquing a student's thesis.,Nu sunt pe deplin convins de argumentul tău din această secțiune.,Argumentul tău este greșit.,A,Indirectness,Education,Professor->Student
Colleague to Colleague (Refusing a Request): A colleague is refusing to lend money.,Nu-ți dau bani.,"Sunt într-o situație dificilă acum, nu cred că te pot ajuta.",B,Indirectness,Workplace,Colleague->Colleague
Restaurant Host to Customer: The host is telling a customer that they do not have an open table.,"Din păcate, în acest moment nu avem mese libere.",Nu avem mese libere.,A,Indirectness,Services,Host->Customer
Family Member to Family Member (Disagreeing): A family member is disagreeing with a suggestion politely.,Nu sunt de acord.,Sunt de părere că am putea aborda situația puțin diferit.,B,Indirectness,Family,Family Member->Family Member
Neighbor to Neighbor: One neighbor is asking another to turn down the music.,Ar fi posibil să dai muzica un pic mai încet?,Dă muzica mai încet!,A,Indirectness,Family,Neighbor->Neighbor
Buyer to Seller (Bargaining): A buyer is asking for a lower price.,"E prea scump, lasă la preț.","Prețul mi se pare un pic cam ridicat, poate putem negocia?",B,Indirectness,Commerce,Buyer->Seller
Waiter to Customer (Informing): A waiter is informing a customer that a dish is not available.,"Din păcate, specialitatea zilei s-a terminat.",Specialitatea zilei nu mai este.,A,Indirectness,Services,Waiter->Customer
Junior to Senior: An employee is trying to suggest a new idea to a senior colleague.,M-aș întreba ce părere ai avea despre o altă abordare.,Avem nevoie de o altă abordare.,A,Indirectness,Workplace,Junior->Senior
Citizen to Clerk: A citizen is asking a clerk to speed up a process.,Am nevoie de documentul ăsta mai repede.,M-aș întreba dacă există vreo cale să obțin documentul mai repede.,B,Indirectness,Administration,Citizen->Clerk
Doctor to Patient: A doctor is trying to suggest a lifestyle change to a patient.,Nu mai mânca atât de multă sare!,Ar fi bine să mai reduci din consumul de sare.,B,Indirectness,Healthcare,Doctor->Patient
Friend to Friend (Requesting a favor): A friend is asking another for a ride home.,"Ce zici, m-ai putea duce tu acasă?",Du-mă acasă!,A,Indirectness,Friends,Friend->Friend
Professor to Student: A professor is asking a student to resubmit an essay.,Rescrie concluziile.,Cred că ar fi de ajutor să rescrii secțiunea de concluzii.,B,Indirectness,Education,Professor->Student
Colleague to Colleague (Giving Feedback): A colleague is giving feedback on a presentation.,Cred că ar fi mai clar dacă ai începe cu slide-ul 5.,Începe cu slide-ul 5.,A,Indirectness,Workplace,Colleague->Colleague
Host to Guest at an event: The host is asking a guest to turn down their phone volume.,Poate ar fi mai bine să dai telefonul pe silențios.,Pune telefonul pe silențios.,A,Indirectness,Formal Event,Host->Guest
Parent to Child: A parent is advising their child on how to clean their room.,Poate ar trebui să începi cu hainele de pe jos.,Adună hainele de pe jos.,A,Indirectness,Family,Parent->Child
Customer to Waiter (Requesting the Bill): A customer is signaling they are ready for the bill.,Adu-mi nota.,"Când ați avea un moment, aș dori să achit.",B,Indirectness,Services,Customer->Waiter
Doctor to Patient: A doctor is suggesting that a patient take a blood test.,Ar fi bine să facem niște analize de sânge.,Trebuie să-ți faci analize.,A,Indirectness,Healthcare,Doctor->Patient
Guest at a Formal Event to Host: A guest is subtly leaving early.,Trebuie să plec.,"Mă scuzați, cred că a venit momentul să plec. Vă mulțumesc!",B,Indirectness,Formal Event,Guest->Host
Employee to Boss: An employee is asking for a raise.,Vreau o mărire de salariu.,Aș avea o problemă personală și m-aș întreba dacă aș putea lipsi mâine.,B,Indirectness,Workplace,Employee->Boss
Neighbor to Neighbor: A neighbor is asking to borrow a tool.,Oare ați avea o cheie franceză să-mi împrumutați pentru 5 minute?,Dă-mi o cheie franceză!,A,Indirectness,Family,Neighbor->Neighbor
Buyer to Seller (Questioning Quality): A buyer is questioning the quality of a product.,Mi se pare că materialul nu e la fel de rezistent pe cât mă așteptam.,Materialul ăsta e de proastă calitate.,A,Indirectness,Commerce,Buyer->Seller
Professor to Student: A professor is asking a student to be more active in class.,Aș vrea să văd o participare mai activă din partea ta la cursuri.,Vorbește mai mult la cursuri.,A,Indirectness,Education,Professor->Student
Clerk to Citizen: A clerk is asking a citizen to provide more information.,Dă-mi mai multe informații.,Am avea nevoie de niște informații suplimentare din partea dumneavoastră.,B,Indirectness,Administration,Clerk->Citizen
Friend to Friend (Declining a Request): A friend is declining to help another friend move.,Nu te ajut să te muți.,"Mi-aș dori mult să te ajut, dar cred că nu voi avea timp.",B,Indirectness,Friends,Friend->Friend
Colleague to Colleague (Making a Suggestion): A colleague is suggesting a new tool for a project.,Poate ar fi util să folosim un alt software pentru asta.,Folosește alt software.,A,Indirectness,Workplace,Colleague->Colleague
Bank Teller to Customer: A bank teller is informing a customer that their request cannot be fulfilled.,"În acest moment, nu putem procesa această cerere.",Nu pot face asta.,A,Indirectness,Commerce,Teller->Customer
Patient to Doctor: A patient is inquiring about their diagnosis without being too direct.,Ce am?,Aș vrea să știu mai multe despre starea mea.,B,Indirectness,Healthcare,Patient->Doctor
Professor to Student: A professor is suggesting a student review a section of a paper.,Ar fi o idee bună să mai citești o dată capitolul 2.,Citește capitolul 2.,A,Indirectness,Education,Professor->Student
Waiter to Customer: A waiter is informing a customer about the long wait time for their order.,Comanda dumneavoastră mai durează.,"Comanda dumneavoastră va mai dura puțin, sper că nu deranjează.",B,Indirectness,Services,Waiter->Customer
Junior Employee to Senior Colleague: A junior employee is asking a senior colleague for guidance.,Spune-mi cum să fac task-ul ăsta.,"M-ai putea îndruma, te rog, în legătură cu acest task?",B,Indirectness,Workplace,Junior->Senior
Citizen to Clerk: A citizen is making a request.,Ar fi posibil să obțin o copie certificată?,Dă-mi o copie certificată.,A,Indirectness,Administration,Citizen->Clerk
Friend to Friend (Declining an Offer): A friend is declining a lunch invitation.,"Îmi pare rău, dar cred că am deja planuri pentru prânz.",Nu pot veni la prânz.,A,Indirectness,Friends,Friend->Friend
Cashier to Customer: A cashier is politely asking for the exact amount.,Dă bani potriviți.,Ați avea cumva bani potriviți?,B,Indirectness,Commerce,Cashier->Customer
Parent to Child: A parent is telling a child to share their toys with a friend.,Ce-ar fi să-ți împarți jucăriile cu Andrei?,Împarte jucăriile cu Andrei!,A,Indirectness,Family,Parent->Child
Doctor to Nurse: A doctor is suggesting a change in a patient's treatment.,M-aș gândi să modificăm puțin planul de tratament.,Modifică planul de tratament.,A,Indirectness,Healthcare,Doctor->Nurse
Employee to Manager: An employee wants to take a day off for personal reasons.,Aș avea o problemă personală și m-aș întreba dacă aș putea lipsi mâine.,Mâine lipsesc.,A,Indirectness,Workplace,Employee->Manager
Neighbor to Neighbor: A neighbor is asking to borrow a cup of sugar.,"Ați avea, cumva, o cană de zahăr în plus?",Dă-mi o cană de zahăr.,A,Indirectness,Family,Neighbor->Neighbor
Professor to Student: A professor is suggesting that a student improve their writing style.,Cred că ar trebui să lucrezi la stilul academic al lucrării.,Scrie mai bine.,A,Indirectness,Education,Professor->Student
Waiter to Customer: A waiter is informing a customer that a table is reserved.,"Din păcate, această masă este deja rezervată.",Masa este ocupată.,A,Indirectness,Services,Waiter->Customer
Patient to Doctor: A patient is expressing their opinion on a treatment plan.,Mi se pare că acest tratament ar putea să nu fie cel mai bun.,Cred că tratamentul ăsta e prost.,A,Indirectness,Healthcare,Patient->Doctor
Friend to Friend (Advising): A friend is advising another on a personal issue.,Poate ar fi o idee bună să vorbești cu el.,Vorbește cu el!,A,Indirectness,Friends,Friend->Friend
Citizen to Clerk: A citizen is asking for clarification on a document.,M-aș întreba dacă ați putea să-mi explicați secțiunea aceasta.,Explică-mi secțiunea asta.,A,Indirectness,Administration,Citizen->Clerk
Two students are discussing a test.,Am rezolvat o parte din exerciții.,Am rezolvat toate exercițiile.,A,GCI,Education,Student->Student
A father is asking his daughter about her friends.,Toți prietenii mei au venit la petrecere.,Unii dintre prietenii mei au venit la petrecere.,B,GCI,Family,Parent->Child
A manager is asking about the team's progress.,Majoritatea rapoartelor au fost finalizate.,Toate rapoartele au fost finalizate.,A,GCI,Workplace,Manager->Employee
A client is discussing their recent purchases.,Am cumpărat toate cămășile de la magazinul ăla.,Am cumpărat câteva cămăși de la magazinul ăla.,B,GCI,Commerce,Customer->Customer
A doctor is giving a patient information.,"În general, pacienții se recuperează bine după operație.",Toți pacienții se recuperează bine după operație.,A,GCI,Healthcare,Medic->Patient
A colleague is talking about their morning routine.,Am băut mai multe cafele astăzi.,Am băut toate cafelele din birou astăzi.,A,GCI,Workplace,Colleague->Colleague
A teacher is asking a student about a group project.,Toți membrii echipei au contribuit la proiect.,Câțiva membri ai echipei au contribuit la proiect.,B,GCI,Education,Teacher->Student
A friend is talking about the food at a party.,"Mâncarea a fost, într-adevăr, bună.",Mâncarea a fost excelentă.,A,GCI,Friends,Friend->Friend
A waiter is talking about a special dish.,"Uneori, clienții comandă această specialitate.","Întotdeauna, clienții comandă această specialitate.",A,GCI,Services,Waiter->Waiter
A citizen is describing a group of people.,Unii dintre ei sunt foarte amabili.,Toți sunt foarte amabili.,A,GCI,Administration,Citizen->Citizen
A boss is giving instructions.,Încearcă să le termini pe toate.,Încearcă să termini câteva dintre aceste sarcini.,B,GCI,Workplace,Boss->Employee
Two friends are talking about a movie.,"Am văzut filmul, mi s-a părut interesant.","Am văzut filmul, mi s-a părut extraordinar.",A,GCI,Friends,Friend->Friend
A parent is asking a child about a trip.,Ne-am distrat destul de bine la munte.,Ne-am distrat foarte bine la munte.,A,GCI,Family,Parent->Child
A manager is commenting on a report.,"Această prezentare este, parțial, corectă.",Această prezentare este complet corectă.,A,GCI,Workplace,Manager->Employee
A doctor is reviewing a treatment.,Cred că tratamentul ajută în totalitate.,"Cred că tratamentul ajută, în mare parte.",B,GCI,Healthcare,Medic->Patient
Two students are talking about a lecture.,Am înțeles unele dintre concepte.,Am înțeles toate conceptele.,A,GCI,Education,Student->Student
A clerk is describing a difficult client.,A avut o atitudine oribilă.,"A avut o atitudine, să zicem, neplăcută.",B,GCI,Administration,Clerk->Clerk
A cashier is talking about the morning rush.,Azi am avut mai mulți clienți decât ieri.,Azi am avut cei mai mulți clienți din istoria magazinului.,A,GCI,Commerce,Cashier->Cashier
A host is describing the dishes at a formal event.,Toate felurile de mâncare conțin gluten.,Unele feluri de mâncare conțin gluten.,B,GCI,Formal Event,Host->Guest
A boss is giving feedback to a subordinate.,"Sugestia ta a fost, în parte, utilă.",Sugestia ta a fost extrem de utilă.,A,GCI,Workplace,Boss->Employee
A teacher is talking to parents.,Copilul dumneavoastră participă destul de activ la ore.,Copilul dumneavoastră participă foarte activ la ore.,A,GCI,Education,Teacher->Parent
A friend is describing a recent trip.,Am văzut câteva peisaje frumoase.,Am văzut toate peisajele frumoase.,A,GCI,Friends,Friend->Friend
A patient is describing their symptoms.,Simt întotdeauna o durere aici.,Simt uneori o durere aici.,B,GCI,Healthcare,Patient->Medic
A colleague is talking about a software update.,Mulți oameni au primit deja actualizarea.,Toți oamenii au primit deja actualizarea.,A,GCI,Workplace,Colleague->Colleague
A son is talking about his parents.,"Tata este, de regulă, la birou la ora asta.",Tata este întotdeauna la birou la ora asta.,A,GCI,Family,Child->Parent
A customer is giving feedback on a product.,E destul de bun.,E foarte bun.,A,GCI,Commerce,Customer->Salesperson
A boss is asking a manager about a team.,Unii dintre ei au terminat proiectul?,Toți au terminat proiectul?,A,GCI,Workplace,Boss->Manager
A friend is talking about a concert.,Am văzut câteva trupe bune.,Am văzut toate trupele bune.,A,GCI,Friends,Friend->Friend
A student is describing a classmate.,"Maria este inteligentă, dar, de multe ori, greșește la teste.",Maria este inteligentă și nu greșește niciodată.,A,GCI,Education,Student->Student
A doctor is giving advice.,"În general, somnul este important.",Întotdeauna somnul este important.,A,GCI,Healthcare,Medic->Patient
A waiter is talking about their shift.,Am servit toți clienții din oraș.,Am servit mai mulți clienți astăzi.,B,GCI,Services,Waiter->Waiter
A clerk is informing a citizen about a process.,Toate formularele necesită o semnătură suplimentară.,Unele formulare necesită o semnătură suplimentară.,B,GCI,Administration,Clerk->Citizen
A parent is asking a child about a task.,Ai făcut majoritatea temelor?,Ai făcut toate temele?,A,GCI,Family,Parent->Child
A sales manager is asking about a sales report.,Câțiva dintre vânzători au atins targetul.,Toți vânzătorii au atins targetul.,A,GCI,Commerce,Manager->Employee
Two colleagues are discussing a recent meeting.,"A fost o întâlnire, să zicem, productivă.",A fost o întâlnire foarte productivă.,A,GCI,Workplace,Colleague->Colleague
A student is talking about a difficult class.,Toate problemele de la matematică sunt dificile.,Unele dintre problemele de la matematică sunt dificile.,B,GCI,Education,Student->Student
A doctor is giving general advice.,Poți să bei o cantitate mică de alcool.,Poți să bei oricât alcool vrei.,A,GCI,Healthcare,Medic->Patient
A friend is describing a restaurant.,E cel mai bun loc din oraș.,E un loc destul de bun.,B,GCI,Friends,Friend->Friend
A parent is talking about a school trip.,Au fost și alți părinți acolo.,Au fost toți părinții acolo.,A,GCI,Family,Parent->Parent
A manager is asking about a project team.,Au fost câțiva oameni în echipă.,Au fost toți oamenii din departament în echipă.,A,GCI,Workplace,Manager->Employee
A customer is talking to a friend about a shop.,Am găsit toate lucrurile care-mi plac.,Am găsit câteva lucruri care-mi plac.,B,GCI,Commerce,Customer->Customer
A clerk is describing a service.,"În general, documentele sunt gata în 3 zile.",Documentele sunt întotdeauna gata în 3 zile.,A,GCI,Administration,Clerk->Citizen
A teacher is giving an exam.,Răspunde la majoritatea întrebărilor.,Răspunde la toate întrebările.,A,GCI,Education,Teacher->Student
A friend is describing a movie.,Mi-a plăcut toată povestea.,"Mi-a plăcut, în mare, povestea.",B,GCI,Friends,Friend->Friend
A son is talking about his parents.,Uneori tata gătește cina.,Întotdeauna tata gătește cina.,A,GCI,Family,Child->Parent
A manager is giving a new employee a task.,Poți să rezolvi câteva dintre ele?,Poți să le rezolvi pe toate?,A,GCI,Workplace,Manager->Employee
A patient is asking about a side effect.,Simt o mică amețeală.,Simt o amețeală puternică.,A,GCI,Healthcare,Patient->Medic
A waiter is talking about a customer.,"Clientul a fost, să zicem, politicos.",Clientul a fost foarte politicos.,A,GCI,Services,Waiter->Waiter
A colleague is describing a meeting.,Am discutat mai multe aspecte.,Am discutat toate aspectele.,A,GCI,Workplace,Colleague->Colleague
A student is talking about their weekend.,Am ieșit cu câțiva prieteni în oraș.,Am ieșit cu toți prietenii în oraș.,A,GCI,Education,Student->Student
Friend A to Friend B: Do you want to come to my party tonight? Friend B replies...,Sunt foarte obosit după o zi lungă la muncă.,Nu pot să vin.,A,PCI,Friends,Friend->Friend
Boss to Employee: Can you handle this new project? Employee replies...,Sunt prea ocupat pentru asta.,Sunt deja la capacitate maximă.,B,PCI,Workplace,Boss->Employee
Student A to Student B: Do you like my new essay? Student B replies...,Fontul este foarte lizibil.,Îmi place mult eseul tău.,A,PCI,Education,Student->Student
A parent is asking their child to take out the trash. Child replies...,Sunt pe punctul de a pleca.,Nu am timp să duc gunoiul.,A,PCI,Family,Parent->Child
Customer to Waiter: How is the soup tonight? Waiter replies...,E o alegere populară.,Supa este extraordinară.,A,PCI,Services,Customer->Waiter
Patient to Doctor: Is this a serious condition? Doctor replies...,Starea dumneavoastră este foarte gravă.,Vom ține situația sub observație.,B,PCI,Healthcare,Patient->Medic
Colleague A to Colleague B: What do you think of his proposal? Colleague B replies...,Are o mulțime de slide-uri.,E o propunere excelentă.,A,PCI,Workplace,Colleague->Colleague
Citizen to Clerk: How long will it take to get this document? Clerk replies...,Nu știu.,Avem o mulțime de cereri în acest moment.,B,PCI,Administration,Citizen->Clerk
Friend A to Friend B: Do you want to go to the movies tonight? Friend B replies...,Nu cred că-mi mai rămân bani după ce am plătit chiria.,"Nu pot, nu am bani.",A,PCI,Friends,Friend->Friend
Professor to Student: Did you understand the lecture? Student replies...,Am înțeles tot.,Am câteva întrebări.,B,PCI,Education,Professor->Student
Husband to Wife: Does this shirt look good on me? Wife replies...,"Nu, nu-ți stă bine.",Cred că ai o cămașă mai potrivită în dulap.,B,PCI,Family,Spouse->Spouse
Manager to Employee: Are you sure you can finish the report on time? Employee replies...,Am lucrat la el toată noaptea.,"Da, sunt sigur.",A,PCI,Workplace,Manager->Employee
Customer to Salesperson: Is this dress too expensive? Salesperson replies...,E confecționat manual din mătase pură.,"Da, este foarte scump.",A,PCI,Commerce,Customer->Salesperson
Neighbor A to Neighbor B: I was wondering if you could help me move this weekend. Neighbor B replies...,Nu pot să te ajut.,Am multă treabă cu curățenia de primăvară.,B,PCI,Family,Neighbor->Neighbor
Waiter to Customer: Did you enjoy the meal? Customer replies...,Porția a fost foarte mare.,Mâncarea a fost delicioasă.,A,PCI,Services,Customer->Waiter
Friend A to Friend B: Do you like the new art installation? Friend B replies...,Am văzut un spectacol mai interesant la teatru.,Nu-mi place.,A,PCI,Friends,Friend->Friend
Professor to Student: How did your final exam go? Student replies...,A fost un examen ușor.,A fost mai greu decât mă așteptam.,B,PCI,Education,Student->Professor
Wife to Husband: Do you like the lasagna I made? Husband replies...,Cred că ai folosit multă sare.,Îmi place mult lasagna.,A,PCI,Family,Spouse->Spouse
Boss to Employee: Will you be able to meet the deadline? Employee replies...,"Da, voi termina la timp.",Cred că ar trebui să am o discuție cu ceilalți din echipă.,B,PCI,Workplace,Boss->Employee
Patient to Doctor: Is this treatment painful? Doctor replies...,Sunt anumite disconforturi minore.,"Nu, nu este deloc dureros.",A,PCI,Healthcare,Patient->Medic
Clerk to Citizen: Do you have a valid ID? Citizen replies...,Nu am actele la mine.,Nu am un act de identitate valabil.,A,PCI,Administration,Citizen->Clerk
Friend to Friend: Do you want to go to the gym? Friend replies...,Sunt în drum spre casă.,Sunt prea obosit.,A,PCI,Friends,Friend->Friend
