Context,Option_A,Option_B,Gold_Label,Phenomenon,Domain,Role_Direction
"Two colleagues are discussing a recent meeting.","A fost o întâlnire, să zicem, productivă.","A fost o întâlnire foarte productivă.","A","GCI","Workplace","Colleague->Colleague"
"A student is talking about a difficult class.","Toate problemele de la matematică sunt dificile.","Unele dintre problemele de la matematică sunt dificile.","B","GCI","Education","Student->Student"
"A doctor is giving general advice.","Poți să bei o cantitate mică de alcool.","Poți să bei oricât alcool vrei.","A","GCI","Healthcare","Medic->Patient"
"A friend is describing a restaurant.","E cel mai bun loc din oraș.","E un loc destul de bun.","B","GCI","Friends","Friend->Friend"
"A parent is talking about a school trip.","Au fost și alți părinți acolo.","Au fost toți părinții acolo.","A","GCI","Family","Parent->Parent"
"A manager is asking about a project team.","Au fost câțiva oameni în echipă.","Au fost toți oamenii din departament în echipă.","A","GCI","Workplace","Manager->Employee"
"A customer is talking to a friend about a shop.","Am găsit toate lucrurile care-mi plac.","Am găsit câteva lucruri care-mi plac.","B","GCI","Commerce","Customer->Customer"
"A clerk is describing a service.","În general, documentele sunt gata în 3 zile.","Documentele sunt întotdeauna gata în 3 zile.","A","GCI","Administration","Clerk->Citizen"
"A teacher is giving an exam.","Răspunde la majoritatea întrebărilor.","Răspunde la toate întrebările.","A","GCI","Education","Teacher->Student"
"A friend is describing a movie.","Mi-a plăcut toată povestea.","Mi-a plăcut, în mare, povestea.","B","GCI","Friends","Friend->Friend"
"A son is talking about his parents.","Uneori tata gătește cina.","Întotdeauna tata gătește cina.","A","GCI","Family","Child->Parent"
"A manager is giving a new employee a task.","Poți să rezolvi câteva dintre ele?","Poți să le rezolvi pe toate?","A","GCI","Workplace","Manager->Employee"
"A patient is asking about a side effect.","Simt o mică amețeală.","Simt o amețeală puternică.","A","GCI","Healthcare","Patient->Medic"
"A waiter is talking about a customer.","Clientul a fost, să zicem, politicos.","Clientul a fost foarte politicos.","A","GCI","Services","Waiter->Waiter"
"A colleague is describing a meeting.","Am discutat mai multe aspecte.","Am discutat toate aspectele.","A","GCI","Workplace","Colleague->Colleague"
"A student is talking about their weekend.","Am ieșit cu câțiva prieteni în oraș.","Am ieșit cu toți prietenii în oraș.","A","GCI","Education","Student->Student"
"Friend A to Friend B: Do you want to come to my party tonight? Friend B replies...","Sunt foarte obosit după o zi lungă la muncă.","Nu pot să vin.","A","PCI","Friends","Friend->Friend"
"Boss to Employee: Can you handle this new project? Employee replies...","Sunt prea ocupat pentru asta.","Sunt deja la capacitate maximă.","B","PCI","Workplace","Boss->Employee"
"Student A to Student B: Do you like my new essay? Student B replies...","Fontul este foarte lizibil.","Îmi place mult eseul tău.","A","PCI","Education","Student->Student"
"A parent is asking their child to take out the trash. Child replies...","Sunt pe punctul de a pleca.","Nu am timp să duc gunoiul.","A","PCI","Family","Parent->Child"
"Customer to Waiter: How is the soup tonight? Waiter replies...","E o alegere populară.","Supa este extraordinară.","A","PCI","Services","Customer->Waiter"
"Patient to Doctor: Is this a serious condition? Doctor replies...","Starea dumneavoastră este foarte gravă.","Vom ține situația sub observație.","B","PCI","Healthcare","Patient->Medic"
"Colleague A to Colleague B: What do you think of his proposal? Colleague B replies...","Are o mulțime de slide-uri.","E o propunere excelentă.","A","PCI","Workplace","Colleague->Colleague"
"Citizen to Clerk: How long will it take to get this document? Clerk replies...","Nu știu.","Avem o mulțime de cereri în acest moment.","B","PCI","Administration","Citizen->Clerk"
"Friend A to Friend B: Do you want to go to the movies tonight? Friend B replies...","Nu cred că-mi mai rămân bani după ce am plătit chiria.","Nu pot, nu am bani.","A","PCI","Friends","Friend->Friend"
"Professor to Student: Did you understand the lecture? Student replies...","Am înțeles tot.","Am câteva întrebări.","B","PCI","Education","Professor->Student"
"Husband to Wife: Does this shirt look good on me? Wife replies...","Nu, nu-ți stă bine.","Cred că ai o cămașă mai potrivită în dulap.","B","PCI","Family","Spouse->Spouse"
"Manager to Employee: Are you sure you can finish the report on time? Employee replies...","Am lucrat la el toată noaptea.","Da, sunt sigur.","A","PCI","Workplace","Manager->Employee"
"Customer to Salesperson: Is this dress too expensive? Salesperson replies...","E confecționat manual din mătase pură.","Da, este foarte scump.","A","PCI","Commerce","Customer->Salesperson"
"Neighbor A to Neighbor B: I was wondering if you could help me move this weekend. Neighbor B replies...","Nu pot să te ajut.","Am multă treabă cu curățenia de primăvară.","B","PCI","Family","Neighbor->Neighbor"
"Waiter to Customer: Did you enjoy the meal? Customer replies...","Porția a fost foarte mare.","Mâncarea a fost delicioasă.","A","PCI","Services","Customer->Waiter"
"Friend A to Friend B: Do you like the new art installation? Friend B replies...","Am văzut un spectacol mai interesant la teatru.","Nu-mi place.","A","PCI","Friends","Friend->Friend"
"Professor to Student: How did your final exam go? Student replies...","A fost un examen ușor.","A fost mai greu decât mă așteptam.","B","PCI","Education","Student->Professor"
"Wife to Husband: Do you like the lasagna I made? Husband replies...","Cred că ai folosit multă sare.","Îmi place mult lasagna.","A","PCI","Family","Spouse->Spouse"
"Boss to Employee: Will you be able to meet the deadline? Employee replies...","Da, voi termina la timp.","Cred că ar trebui să am o discuție cu ceilalți din echipă.","B","PCI","Workplace","Boss->Employee"
"Patient to Doctor: Is this treatment painful? Doctor replies...","Sunt anumite disconforturi minore.","Nu, nu este deloc dureros.","A","PCI","Healthcare","Patient->Medic"
"Clerk to Citizen: Do you have a valid ID? Citizen replies...","Nu am actele la mine.","Nu am un act de identitate valabil.","A","PCI","Administration","Citizen->Clerk"
"Friend to Friend: Do you want to go to the gym? Friend replies...","Sunt în drum spre casă.","Sunt prea obosit.","A","PCI","Friends","Friend->Friend"
"Teacher to Student: Did you do your homework? Student replies...","Nu, nu mi-am făcut tema.","Am avut un meci de fotbal aseară.","B","PCI","Education","Teacher->Student"
"Friend A to Friend B: Is your girlfriend nice? Friend B replies...","E o persoană foarte drăguță.","E foarte bună la desen.","B","PCI","Friends","Friend->Friend"
"Manager to Employee: Do you have time to talk? Employee replies...","Am un avion diseară.","Nu am timp.","A","PCI","Workplace","Manager->Employee"
"Parent to Child: Did you clean your room? Child replies...","M-am jucat cu o oră în urmă.","Am curățat camera.","A","PCI","Family","Parent->Child"
"Customer to Salesperson: Are these shoes comfortable? Salesperson replies...","Sunt la modă.","Sunt foarte confortabili.","A","PCI","Commerce","Customer->Salesperson"
"Neighbor to Neighbor: Did you hear the party next door last night? Neighbor replies...","Poliția a venit pe la 12 noaptea.","A fost o petrecere foarte zgomotoasă.","A","PCI","Family","Neighbor->Neighbor"
"Doctor to Patient: Did you take your medicine? Patient replies...","Da, mi-am luat medicamentele.","Am avut niște simptome neobișnuite după prima doză.","B","PCI","Healthcare","Patient->Medic"
"Friend A to Friend B: What did you think of the new restaurant? Friend B replies...","Mâncarea a fost, să zicem, interesantă.","Mâncarea a fost delicioasă.","A","PCI","Friends","Friend->Friend"
"Professor to Student: Did you like my book? Student replies...","E o sursă excelentă de informații.","Cartea dumneavoastră este minunată.","A","PCI","Education","Student->Professor"
"Colleague to Colleague: Do you think our boss will like this presentation? Colleague replies...","Da, o va iubi.","Cred că va aprecia datele noastre.","B","PCI","Workplace","Colleague->Colleague"
"Parent to Child: Did you do well on your test? Child replies...","Am răspuns la majoritatea întrebărilor.","Am luat nota maximă.","A","PCI","Family","Parent->Child"
"Customer to Salesperson: Do you have this product in a different color? Salesperson replies...","Acesta este singurul model pe care-l avem.","Nu avem altă culoare.","A","PCI","Commerce","Customer->Salesperson"
"Boss to Employee: Is the report ready? Employee replies...","Am terminat secțiunea 1.","Nu, nu e gata.","A","PCI","Workplace","Boss->Employee"
"Friend A to Friend B: Do you want to try rock climbing? Friend B replies...","Nu-mi place.","Nu sunt un fan al înălțimilor.","B","PCI","Friends","Friend->Friend"
"Teacher to Student: Are you going to study for the final exam? Student replies...","Am cumpărat o grămadă de jocuri noi.","Nu, nu voi studia.","A","PCI","Education","Teacher->Student"
"Husband to Wife: Do you think our new neighbors are nice? Wife replies...","Mașina lor blochează intrarea în parcare.","Sunt persoane drăguțe.","A","PCI","Family","Spouse->Spouse"
"Manager to Employee: What do you think of this idea? Employee replies...","Este o idee excelentă.","Este o idee unică.","B","PCI","Workplace","Manager->Employee"
"Patient to Doctor: Will this help me feel better? Doctor replies...","Da, vă va ajuta.","Medicina are, din păcate, limitele ei.","B","PCI","Healthcare","Patient->Medic"
"Clerk to Citizen: Are you a permanent resident here? Citizen replies...","Nu am încă toate documentele necesare.","Nu sunt un rezident permanent.","A","PCI","Administration","Citizen->Clerk"
"Friend A to Friend B: What did you think of the movie? Friend B replies...","A fost foarte lung.","Mi-a plăcut filmul.","A","PCI","Friends","Friend->Friend"
"Professor to Student: How did you find my feedback on your paper? Student replies...","A fost destul de detaliat.","A fost foarte util.","A","PCI","Education","Student->Professor"
"Parent to Child: Are you happy with your grades? Child replies...","Am trecut.","Sunt fericit cu notele mele.","A","PCI","Family","Parent->Child"
"Colleague to Colleague: Can you help me with this task? Colleague replies...","Am deja un proiect urgent de terminat.","Sunt prea ocupat.","A","PCI","Workplace","Colleague->Colleague"
"Salesperson to Customer: Are you interested in buying this car? Customer replies...","Nu am bani.","Nu cred că am un buget pentru un model nou.","B","PCI","Commerce","Customer->Salesperson"
"Friend A to Friend B: What do you think about our new team leader? Friend B replies...","Vorbește mereu despre el însuși.","Îmi place mult.","A","PCI","Friends","Friend->Friend"
"Waiter to Customer: How was the dessert? Customer replies...","A fost diferit de ce mă așteptam.","A fost delicios.","A","PCI","Services","Customer->Waiter"
"Boss to Employee: Did you finish the reports? Employee replies...","Nu, nu am terminat.","Am trimis un email cu tot ce am făcut până acum.","B","PCI","Workplace","Boss->Employee"
"Professor to Student: Do you think this topic is too complex? Student replies...","Oamenii sunt foarte entuziasmați să-l studieze.","Nu, este foarte simplu.","A","PCI","Education","Professor->Student"
